url,domestic,domestic_percent,international,international_percent,worldwide,domestic_opening,budget,distributor,year,month,day
111161,28.767189,0.996,0.117527,0.004,28.884716,0.727327,25.0,Columbia Pictures,1994,9,23
1375666,292.58733,0.349,546.4433,0.6509999999999999,839.03063,62.785337,160.0,Warner Bros.,2010,7,15
137523,37.030102,0.366,64.1796,0.634,101.209702,11.035485,63.0,Twentieth Century Fox,1999,10,15
468569,534.987076,0.531,472.27046,0.469,1007.257536,158.411483,185.0,Warner Bros.,2008,7,16
109830,330.45527,0.48700000000000004,347.771195,0.513,678.226465,24.450602,55.0,Paramount Pictures,1994,7,6
110912,107.928762,0.505,106.0,0.495,213.928762,9.311882,8.0,Miramax,1994,10,14
816692,188.020017,0.267,515.15082,0.733,703.170837,47.51036,165.0,Paramount Pictures,2014,11,5
68646,136.381073,0.545,113.960743,0.455,250.341816,0.302393,6.0,Paramount Pictures,1972,3,15
133093,172.076928,0.368,295.1458,0.632,467.222728,27.788331,63.0,Warner Bros.,1999,3,31
120737,316.11542,0.35200000000000004,582.386399,0.648,898.501819,47.21149,93.0,New Line Cinema,2001,12,19
167260,379.427292,0.331,768.570115,0.669,1147.997407,72.629713,94.0,New Line Cinema,2003,12,17
114369,100.125643,0.306,227.207916,0.6940000000000001,327.333559,13.949807,33.0,New Line Cinema,1995,9,22
1345836,448.149584,0.413,636.918053,0.5870000000000001,1085.067637,160.887295,250.0,Warner Bros.,2012,7,19
167261,342.952511,0.361,605.772622,0.639,948.725133,62.007528,94.0,New Line Cinema,2002,12,18
1853728,162.805434,0.382,263.268939,0.618,426.074373,30.122888,100.0,The Weinstein Company,2012,12,25
172495,187.705427,0.373,315.456886,0.627,503.162313,34.819017,103.0,DreamWorks Distribution,2000,5,4
361748,120.540719,0.375,200.917028,0.625,321.457747,38.054676,70.0,The Weinstein Company,2009,8,19
372784,206.863479,0.551,168.435467,0.449,375.298946,48.74544,150.0,Warner Bros.,2005,6,15
993846,116.900694,0.287,289.977539,0.713,406.878233,18.361578,100.0,Paramount Pictures,2013,12,25
120815,217.049603,0.45,265.3,0.55,482.349603,30.576104,70.0,DreamWorks Distribution,1998,7,24
102926,130.742922,0.479,142.0,0.521,272.742922,13.766814,19.0,Orion Pictures,1991,2,14
76759,460.998507,0.595,195.751992,0.252,775.398007,1.554475,11.0,Twentieth Century Fox,1977,5,25
108052,96.898818,0.301,225.262427,0.6990000000000001,322.161245,0.656636,22.0,Universal Pictures,1993,12,15
7286456,335.477657,0.311,743.480625,0.6890000000000001,1078.958282,96.202337,55.0,Warner Bros.,2019,10,2
848228,623.35791,0.41,897.180626,0.59,1520.538536,207.438708,220.0,Walt Disney Studios Motion Pictures,2012,4,25
1130884,128.012934,0.434,166.792763,0.5660000000000001,294.805697,41.06244,80.0,Paramount Pictures,2010,2,18
120689,136.801374,0.47700000000000004,150.0,0.523,286.801374,18.017152,60.0,Warner Bros.,1999,12,10
482571,53.089891,0.484,56.58642,0.516,109.676311,14.801808,40.0,Walt Disney Studios Motion Pictures,2006,10,20
407887,132.399394,0.45399999999999996,159.081058,0.546,291.480452,26.887467,90.0,Warner Bros.,2006,10,5
499549,785.221649,0.26899999999999996,2138.484377,0.731,2923.706026,77.025481,237.0,Twentieth Century Fox,2009,12,16
80684,292.75396,0.544,190.685234,0.354,538.375067,4.910483,18.0,Twentieth Century Fox,1980,5,21
71562,47.834595,0.997,0.127324,0.003,47.961919,,13.0,Paramount Pictures,1974,12,12
209144,25.544867,0.638,14.502211,0.36200000000000004,40.047078,0.235488,9.0,Newmarket Films,2001,3,16
88763,212.836762,0.555,170.5,0.445,383.336762,11.1525,19.0,Universal Pictures,1985,7,3
120338,674.292608,0.298,1590.450697,0.7020000000000001,2264.743305,28.638131,200.0,Paramount Pictures,1997,12,19
4154796,858.373,0.307,1941.0661,0.693,2799.4391,357.115007,356.0,Walt Disney Studios Motion Pictures,2019,4,24
99685,46.909721,0.997,0.127063,0.003,47.036784,6.368901,,Warner Bros.,1990,9,19
110413,19.501238,0.997,0.067987,0.003,19.569225,5.306558,,Sony Pictures Entertainment (SPE),1994,11,18
2015381,333.7186,0.43200000000000005,439.631547,0.568,773.350147,94.320883,170.0,Walt Disney Studios Motion Pictures,2014,7,30
169547,130.096601,0.365,226.2,0.635,356.296601,0.861531,15.0,DreamWorks Distribution,1999,9,15
266697,70.099045,0.387,110.807031,0.613,180.906076,22.2,30.0,Miramax,2003,10,9
325980,305.413918,0.467,348.850097,0.5329999999999999,654.264015,46.63069,140.0,Walt Disney Studios Motion Pictures,2003,7,9
910970,223.808164,0.429,297.503726,0.5710000000000001,521.31189,63.087526,180.0,Walt Disney Studios Motion Pictures,2008,6,26
4154756,678.815482,0.331,1373.599557,0.669,2052.415039,257.698183,,Walt Disney Studios Motion Pictures,2018,4,25
120586,6.719864,0.281,17.155263,0.7190000000000001,23.875127,0.156076,20.0,New Line Cinema,1998,10,30
120382,125.618201,0.47600000000000003,138.500511,0.524,264.118712,31.542121,,Paramount Pictures,1998,6,5
103064,205.881154,0.395,312.106698,0.599,520.881154,31.765506,102.0,TriStar Pictures,1991,7,3
114814,23.341568,1.0,23.341568,0.0,,0.645363,6.0,Gramercy Pictures (I),1995,8,18
434409,70.511035,0.524,64.175422,0.47600000000000003,134.686457,25.64234,54.0,Warner Bros.,2006,3,15
110357,422.783777,0.43700000000000006,545.728028,0.563,968.511805,1.586753,45.0,Walt Disney Studios Motion Pictures,1994,6,15
86190,316.566101,0.6659999999999999,122.009457,0.257,475.106177,23.019618,32.5,Twentieth Century Fox,1983,5,25
371746,319.034126,0.545,266.762121,0.455,585.796247,98.618668,140.0,Paramount Pictures,2008,4,30
1431045,363.070709,0.46399999999999997,419.766082,0.536,782.836791,132.434639,58.0,Twentieth Century Fox,2016,2,9
1049413,293.004164,0.39899999999999997,442.094938,0.601,735.099102,68.10879,175.0,Walt Disney Studios Motion Pictures,2009,5,28
